cust_id,age,acct_amount,inv_amount,account_opened,last_transaction
8C35540A,54,44244.71,35500.5,3/5/2018,30-09-19
D5536652,36,86506.85,81921.86,21-01-18,14-01-19
A631984D,49,77799.33,46412.27,26-01-18,6/10/2019
93F2F951,56,93875.24,76563.35,21-08-17,10/7/2019
DE0A0882,21,99998.35,NA,5/6/2017,15-01-19
25E68E1B,47,109737.62,93552.69,26-12-17,12/11/2018
3FA9296D,53,79744.23,70357.7,21-06-18,24-08-18
984403B9,29,17939.88,14429.59,7/10/2017,18-05-18
870A9281,58,63523.31,51297.32,2/9/2018,22-02-19
166B05B0,53,38175.46,15052.7,28-02-19,31-10-18
0A9BA907,44,90469.53,70173.49,15-06-18,28-08-18
2AB6539A,59,53796.13,12401.32,3/1/2019,17-11-18
F389832C,48,95380.06,58388.14,3/2/2018,23-09-18
NA,34,83653.09,44656.36,15-08-18,18-01-19
NA,22,86028.48,NA,4/6/2017,7/8/2018
CA507BA1,50,12209.84,7516.33,26-05-18,11/9/2019
472341F2,35,83127.65,67961.74,14-12-18,22-04-18
D3287768,20,89961.77,NA,3/9/2018,19-10-18
FA01676F,21,66947.3,NA,10/8/2018,23-07-19
A69FA1B8,41,75207.99,31620.86,23-02-19,9/9/2019
9B550FD5,42,32891.31,11993.35,2/5/2018,27-06-19
B99CD662,28,92838.44,49090.83,4/5/2017,12/3/2019
7A73F334,35,120512,93233,14-05-18,19-07-18
B40E8497,33,99771.9,86992.74,16-05-17,5/1/2020
NA,30,71782.2,35476.83,29-01-19,22-11-19
NA,50,95038.14,66797.81,3/4/2018,25-09-18
EC189A55,53,83343.18,7282.91,4/2/2019,31-12-18
3C5CBBD7,45,59678.01,35939.08,3/1/2019,2/10/2018
F7FC8F78,26,88049.82,84432.03,28-02-18,30-04-18
ACE5C956,39,90413.25,21574.21,29-12-18,30-04-19
2EC1B555,34,55976.78,51478.91,5/12/2017,21-10-19
NA,43,92007.12,22053.26,29-07-18,10/2/2020
5321D380,58,59700.08,8145.24,9/10/2018,4/2/2019
C55C54A8,45,79630.02,25250.82,30-10-18,19-02-19
AC2AEAC4,57,88440.54,63332.9,12/3/2018,1/8/2019
904A19DD,20,31981.36,NA,28-01-19,23-06-19
A731C34E,46,95352.02,84066.66,13-11-17,13-01-19
96525DA6,33,82511.24,33929.23,23-07-18,7/8/2018
BD7CF5D7,29,82084.76,44340.56,18-07-17,26-02-20
0109137B,44,31730.19,21959.28,20-04-18,8/7/2019
93E78DA3,22,41942.23,NA,9/10/2017,15-04-18
72DD1471,27,100683.48,87882.91,22-01-18,17-05-18
EC7C25A8,30,86503.33,49180.36,8/6/2017,2/4/2018
38B8CD9C,55,28834.71,27532.35,17-09-18,5/2/2020
80C0DAB3,27,73951.45,61650.12,3/4/2017,21-09-19
DEC6DBE4,46,32220.83,3216.72,9/8/2018,17-11-19
3B240FEF,25,97856.46,NA,23-05-18,11/10/2018
82E87321,50,97833.54,61481.86,18-10-18,21-07-18
1903EB99,37,24267.02,22963.63,17-03-17,21-11-18
2F4F99C1,53,82058.48,35760.69,30-12-18,11/8/2018
46351200,56,97595.3,82251.59,18-08-18,20-02-20
7D8EBAF6,52,109943.03,81490.13,2/7/2017,22-02-20
E2EFF324,29,67297.46,57252.76,27-04-18,10/7/2018
A1815565,32,82996.04,30898.16,7/11/2017,30-09-19
6B094617,21,89855.98,NA,6/2/2018,14-02-19
C580AE41,47,96673.37,68468.28,28-09-18,17-09-18
B25B3B8D,57,99193.98,83364.21,28-04-18,4/7/2019
0F0884F6,56,84505.81,47826.51,8/3/2018,24-08-19
58F8CC80,42,87146.19,25759.85,18-10-18,10/1/2019
56D310A8,21,88660.4,NA,25-02-18,29-07-18
4A13E345,45,84107.71,4217.92,17-09-18,9/2/2019
5AEA5AB8,56,100266.99,89342.43,9/6/2018,3/7/2019
7A4EED75,33,98923.14,20932.3,28-11-17,1/5/2019
NA,49,63182.57,62692.03,9/5/2018,26-01-20
87FDF627,56,95275.46,55888.87,26-02-19,25-06-18
FBAD3C91,35,99141.9,13468.4,29-05-18,2/11/2019
BFC13E88,58,59863.77,24569.47,25-04-18,2/4/2018
5F6A2443,57,98047.16,76216.88,15-12-18,12/11/2019
7A2879AF,54,83345.15,45162.06,30-08-18,9/11/2019
13770971,26,92750.87,27963.45,16-08-17,24-04-19
EC10469C,28,73618.75,48979.16,27-12-18,8/6/2018
B5D367B5,39,44226.86,36572.69,16-09-17,3/4/2019
NA,53,99490.61,32150.64,1/8/2017,4/8/2019
625167AC,28,95315.71,66914.63,8/6/2017,3/7/2019
777A7F2C,30,52684.17,20970.35,27-10-18,25-05-19
3E51A395,46,21757.14,10582.94,4/6/2017,22-09-18
2C5901B4,40,250046.76,90442.57,5/2/2018,11/7/2019
D4C7E817,56,26585.87,20441.92,6/5/2018,8/12/2018
NA,41,64944.62,31803.34,20-03-18,15-11-19
E52D4C7F,36,61795.89,49387.29,22-05-17,24-10-19
987DC93E,51,35924.41,14881.89,30-12-18,6/12/2018
A07D5C92,45,99577.36,60408.99,17-11-17,16-01-20
078C654F,21,87312.64,NA,14-04-17,5/8/2018
807465A4,48,28827.59,14585.75,20-04-17,31-07-18
8D08495A,59,89138.52,60798.23,8/8/2018,5/2/2019
C9FB0E86,46,88682.34,26166.11,19-05-18,6/8/2019
296A9395,48,34679.6,28459.96,24-12-17,19-02-19
F2158F66,41,84132.1,23714.06,7/11/2017,8/11/2018
33CA2B76,23,75508.61,NA,16-11-17,3/3/2019
EEBD980F,59,57838.49,50814.83,8/12/2018,4/1/2020
014E0511,27,70272.97,65969.8,9/2/2019,22-05-19
0B44C3F8,32,33984.87,31395,10/4/2018,28-09-19
CEC1CAE5,32,92169.14,77896.86,26-11-17,8/10/2018
4C7F8638,23,21942.37,NA,14-07-18,2/2/2019
A81D31B3,24,74010.15,NA,2/6/2018,12/9/2018
93A17007,36,40651.36,9387.87,28-05-17,8/3/2019
NA,57,27907.16,10967.69,23-10-17,11/7/2019
