Year,Pink,Chum,Sockeye,Coho,Rainbow,Chinook,Atlantic
1950,100600,139300,64100,30500,0,23200,10800
1951,259000,155900,51200,40900,100,25500,9701
1952,132600,113800,58200,33600,100,24900,9800
1953,235900,99800,66100,32400,100,25300,8800
1954,123400,148700,83800,38300,100,24500,9600
1955,244400,143700,72000,45100,100,27700,7800
1956,203400,158480,84800,40000,100,25300,8100
1957,270119,125377,69676,39900,100,21200,9000
1958,200798,132407,100520,39200,100,20900,8801
1959,200085,113114,62472,32865,100,20335,8700
1960,111880,120760,83171,26898,100,17412,8900
1961,178133,109053,93311,37524,200,18130,9400
1962,163558,110707,66126,39883,300,17489,11500
1963,222477,106491,53140,41547,1600,18928,10766
1964,143623,94498,56189,38948,2300,20932,14342
1965,161131,76503,94286,44207,1500,21197,12363
1966,174844,93949,81080,46874,900,21549,12337
1967,168960,88027,75582,43396,1700,21375,14411
1968,155729,95624,113332,46463,11200,20720,12823
1969,195169,67888,65106,30973,3000,21915,13316
1970,133466,113650,106436,44050,4400,24000,13457
1971,178823,105879,79160,43110,4600,25800,12397
1972,93852,137655,43932,33880,4900,24000,12665
1973,151180,125364,55637,38550,6900,27400,15387
1974,94026,121052,53027,42631,8099,24148,15158
1975,171012,127561,38615,31782,10302,24137,14736
1976,146895,125110,60357,36965,9492,24984,11372
1977,224475,118677,64651,30777,6166,26351,11491
1978,174314,129513,75737,30712,7219,25417,8948
1979,249558,150176,109439,34279,7036,25452,10259
1980,226191,166803,111830,30557,9027,23023,12965
1981,264855,186550,132651,28702,8819,22789,12425
1982,170373,182561,128176,42281,6839,25147,10326
1983,255129,196414,163790,30291,7473,18926,10862
1984,210511,210507,126834,40834,7977,18449,10562
1985,300987,267794,150860,38823,9373,20318,12422
1986,211685,239065,136452,42825,9709,21187,11739
1987,218121,217129,131135,28173,12196,25475,11413
1988,165236,286572,107361,32245,11872,31338,10093
1989,363456,243728,169410,31614,12249,20725,15795
1990,235190,299438,198168,34635,12529,18249,10860
1991,438998,266940,161218,38078,12545,15373,9793
1992,216110,238427,199709,38433,9731,15093,9308
1993,302568,286996,242613,25451,19091,15036,8161
1994,326065,328765,183686,45602,12624,13623,7231
1995,394735,424595,189612,28922,13450,13801,6819
1996,294915,411395,188584,28201,12407,10509,6493
1997,318717,347560,132075,13191,13147,13000,5579
1998,371552,311965,78972,19386,18940,9840,4744
1999,386928,281260,130128,15449,15874,8735,4107
2000,285338,276355,124782,18035,14918,8437,4710
2001,360973,307662,108618,20006,14927,8771,4772
2002,268544,314098,103325,20757,12241,13911,4139
2003,377749,360429,109822,16995,17128,15046,3648
2004,266554,351188,142385,24546,16601,15899,4082
2005,456350,318389,147151,18791,16886,13571,3727
2006,316205,361561,151523,18275,17079,10497,3087
2007,506343,331266,164609,17228,14844,8900,3014
2008,294876,295819,138896,21280,16819,6443,3002
2009,591654,359908,150040,19725,17884,6303,2373
2010,370044,143959,170972,20770,20754,7968,2363
